Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
M,299.1,310.4,1422,49.3,69
L,297.5,308.6,1694,27.1,36
L,299.9,309.2,1491,44.3,214
L,302.0,310.5,1370,44.4,85
L,300.7,311.0,1496,38.3,99
L,298.3,308.0,1486,42.3,86
H,297.5,308.4,1793,23.9,28
L,298.9,310.1,1944,23.4,192
L,298.1,308.0,1426,46.0,61
M,301.7,311.1,1618,36.7,115
L,298.3,310.1,1523,45.9,99
M,299.0,310.4,1394,45.2,122
M,299.5,309.1,1422,45.3,103
L,300.6,311.8,1539,37.0,187
L,299.0,310.4,1483,41.5,96
L,303.0,312.3,1533,38.5,134
L,295.6,306.0,1363,50.0,14
L,302.5,312.0,1495,38.8,186
L,300.7,310.8,1925,22.0,74
L,297.4,308.4,1664,28.1,67
H,300.7,309.5,1667,30.5,29
L,298.9,310.1,1361,51.7,192
L,297.7,309.1,1563,39.3,56
M,301.4,310.7,1692,32.3,5
M,301.7,309.9,1452,41.5,86
M,298.8,309.7,1477,48.5,138
M,296.2,307.2,1168,63.4,172
L,298.1,308.1,1616,32.8,65
H,300.1,311.6,1674,29.6,85
L,296.3,307.4,1465,47.1,215
L,296.3,307.4,1648,34.0,60
L,298.7,309.9,1371,51.3,201
L,297.4,308.4,1603,34.6,65
M,300.3,309.6,1509,46.6,95
L,298.3,308.1,1840,21.5,88
L,302.7,312.3,1858,25.4,2
L,299.0,309.5,1861,23.3,73
H,302.2,311.6,1357,44.2,142
H,301.3,310.8,1434,39.5,18
M,299.3,309.1,1600,35.3,52
M,297.1,308.4,1588,33.4,204
M,300.3,311.7,1319,51.4,170
M,299.2,308.8,1314,52.5,193
M,298.6,310.1,1458,41.9,61
M,299.0,310.2,1564,39.9,97
M,300.6,310.7,1566,38.2,187
L,298.4,309.4,1540,43.2,141
H,302.2,310.9,1522,35.9,61
L,301.8,310.7,1461,44.2,49
H,303.3,312.6,1827,24.2,132
M,298.0,309.9,1445,45.2,55
M,303.1,311.0,1510,47.6,16
M,302.0,310.6,1479,40.5,24
L,297.6,308.6,1529,45.3,15
L,301.6,310.1,1326,48.2,77
L,297.5,309.4,1357,50.1,137
M,298.6,310.1,1444,48.1,39
L,298.4,309.2,2118,17.7,210
L,299.8,309.4,1555,34.8,122
L,297.2,308.6,1652,32.1,52
L,298.7,309.7,1510,40.6,162
L,296.9,307.6,1435,45.0,119
L,299.0,308.6,1378,47.8,163
M,299.8,309.3,1470,42.7,119
L,300.3,311.7,1317,56.5,7
M,298.7,310.1,1506,50.7,53
M,299.1,308.4,1330,53.6,62
L,301.0,310.5,1408,47.0,202
M,300.7,311.6,1348,62.5,36
L,299.7,309.2,1616,31.6,175
L,298.8,309.8,1334,49.3,42
L,302.3,311.5,1565,35.6,41
L,301.0,311.7,1547,34.5,152
L,302.0,309.9,1388,51.4,183
M,299.2,308.4,1538,38.0,98
L,298.9,308.7,1504,41.8,165
L,298.2,309.0,1601,35.8,43
L,301.3,310.8,1719,29.5,62
M,299.2,308.6,1367,47.6,168
L,300.8,310.3,1537,33.3,52
L,297.2,308.5,1447,47.9,188
L,301.9,310.3,1972,21.3,67
M,300.9,310.0,1600,36.0,204
H,298.1,308.0,1570,35.3,159
M,298.9,310.0,1487,36.6,129
L,297.8,307.5,1391,48.6,109
M,299.0,310.3,1635,34.5,168
M,298.6,309.4,1465,41.1,30
L,299.2,308.5,1487,41.2,140
L,298.8,309.7,1505,39.0,131
H,298.1,308.9,1388,53.5,83
L,297.0,308.1,1429,54.0,138
M,298.8,309.8,1551,36.6,15
L,298.2,308.7,1428,54.9,45
L,302.4,311.0,2211,15.4,203
L,301.9,309.6,1446,43.2,225
L,297.9,308.0,1954,21.1,42
M,301.1,310.9,1396,45.1,12
L,302.2,311.3,1389,46.9,106
L,303.5,312.1,1326,55.7,114
H,298.9,309.3,1375,42.7,58
L,302.9,312.2,1513,37.8,92
L,298.3,310.0,1858,23.9,114
L,297.4,309.2,1420,45.6,193
M,303.0,311.2,1519,38.0,139
L,298.7,308.5,1544,35.2,159
L,300.3,310.4,1672,29.2,39
L,300.0,310.2,1486,36.4,66
L,300.2,310.4,1808,25.8,35
M,301.3,311.0,1402,47.5,197
L,302.6,310.5,1461,45.4,0
M,300.0,309.0,1368,45.8,81
L,297.4,308.5,1782,25.9,54
L,297.8,309.2,1372,47.3,15
L,302.4,310.3,1900,24.4,113
M,298.6,309.4,1460,43.8,138
L,298.6,309.4,1698,33.2,147
M,297.5,308.5,1484,44.7,40
L,303.9,312.6,1426,53.4,172
L,297.0,307.8,1414,47.5,168
H,298.5,307.9,1260,54.2,141
L,302.0,309.9,1407,52.8,154
L,297.2,308.6,1774,23.0,30
L,297.2,307.9,1441,40.0,195
M,298.8,308.5,1425,47.4,90
M,301.6,310.8,1664,32.0,58
L,300.1,309.7,1481,37.9,34
M,302.6,312.3,1566,36.6,46
M,301.7,310.7,1627,31.3,78
M,297.4,308.7,1425,50.3,152
M,297.7,309.0,1531,42.4,38
M,299.3,308.9,1858,24.7,101
H,301.1,311.0,1339,52.8,194
L,301.4,310.5,1571,33.9,208
M,303.5,312.3,1532,41.7,32
M,301.5,310.7,1744,28.2,61
L,300.1,310.5,1532,36.0,109
M,300.7,309.6,1536,37.2,19
M,300.1,311.3,1523,34.1,135
L,299.3,310.9,1669,32.4,5
L,300.3,311.1,1605,37.1,160
M,300.5,310.2,1386,48.2,225
L,303.5,312.8,1877,22.3,96
H,303.5,311.5,1629,33.5,73
L,298.6,308.3,1422,40.4,179
L,299.7,311.1,1574,36.4,135
M,298.0,307.9,1750,26.6,67
L,297.5,308.8,1477,39.0,127
M,298.1,308.8,1378,53.5,65
L,298.8,309.7,1374,58.6,123
L,297.9,307.6,1968,20.4,171
M,301.1,310.6,1410,43.9,73
L,302.3,311.6,1544,34.3,0
L,304.0,313.1,1720,28.7,106
L,302.6,311.0,1506,37.2,95
L,302.5,311.9,1553,40.1,187
L,298.8,309.9,1351,47.2,73
L,300.0,309.9,1507,41.4,74
M,301.3,311.0,1641,33.0,145
H,300.5,310.7,1654,28.6,161
L,300.2,310.6,1431,42.3,113
L,297.5,309.3,1564,37.5,20
L,301.8,310.1,1738,28.0,58
L,299.6,310.6,1642,35.1,149
L,300.1,310.1,1306,64.7,57
H,301.8,310.5,1478,38.6,141
M,295.7,306.3,1462,44.3,37
L,301.8,311.0,1322,53.0,166
L,301.7,311.0,1474,42.6,164
L,302.1,311.4,1686,30.9,106
L,302.0,310.4,1895,23.2,161
M,298.0,308.0,1555,37.0,111
L,304.0,313.0,1541,45.9,64
M,300.5,309.9,1994,19.8,189
L,296.5,307.6,1512,43.6,92
L,297.9,309.1,1457,44.4,28
H,302.0,310.9,1679,29.0,222
M,299.3,310.5,1404,47.5,12
M,296.1,306.9,1951,23.3,38
L,301.9,310.8,1525,43.2,62
M,298.2,308.8,1626,40.4,20
L,300.7,311.7,1499,38.4,205
L,295.6,306.2,1426,48.6,124
M,296.1,307.1,1433,38.5,14
L,302.4,310.2,1445,46.4,125
L,301.5,310.7,1426,46.1,81
L,297.5,308.9,1729,28.1,189
L,297.5,309.3,1732,29.9,32
L,302.4,310.9,1469,39.6,86
L,302.6,310.5,1450,43.2,68
L,297.4,309.2,1274,54.3,121
M,301.9,309.6,1551,34.6,211
L,299.0,310.3,1475,42.4,93
M,298.7,308.6,1722,24.7,64
L,302.5,310.4,1488,48.4,134
M,303.8,312.5,1448,44.3,195
M,302.4,310.3,1375,52.5,161
M,297.9,309.1,1558,39.2,59
M,302.4,311.8,1539,39.9,101
L,297.4,308.5,1475,47.2,69
L,297.4,309.0,1505,39.2,209
L,301.5,310.4,1629,34.1,151
L,295.6,306.0,1419,51.1,7
M,297.9,309.0,1970,21.6,37
L,301.8,310.6,1372,54.7,95
L,297.1,308.1,1633,33.3,192
L,297.1,307.8,1428,43.7,179
L,300.2,309.8,1430,55.0,102
L,302.3,311.2,1786,24.3,81
L,303.0,311.2,1409,41.9,98
L,295.4,305.8,1407,50.7,192
M,301.8,310.9,1881,20.9,23
L,300.2,311.5,1549,37.2,67
L,297.3,308.1,1468,49.8,0
L,299.7,309.3,1434,38.5,127
L,300.3,311.4,1346,51.1,147
L,298.8,308.3,1634,27.9,12
M,300.2,309.8,1487,39.2,122
L,295.6,306.2,1446,49.9,133
L,298.6,309.4,1440,48.2,136
M,301.4,311.1,1758,25.4,88
H,301.1,310.6,1407,43.9,111
H,298.8,309.6,1309,57.4,185
M,300.7,309.5,1622,30.5,14
L,298.7,310.2,1363,45.5,28
M,300.7,310.7,1347,46.5,183
L,297.4,308.4,1421,46.0,124
H,296.4,307.5,1403,52.8,94
L,298.8,309.1,1378,54.4,165
M,299.1,308.5,1587,35.6,2
L,302.3,311.8,1433,50.3,183
L,301.2,311.7,1463,48.3,204
M,298.6,309.6,1397,54.1,47
L,302.4,311.5,1505,37.9,79
L,300.0,309.7,1326,61.9,80
L,302.6,311.0,1610,39.2,152
M,298.5,308.3,1440,43.6,5
L,301.5,310.9,1469,44.7,164
L,299.4,309.2,1489,42.3,114
M,299.1,310.8,1517,38.4,185
M,301.3,311.0,1463,50.2,214
M,301.3,310.8,1372,54.2,49
H,296.6,307.7,1654,31.0,91
L,300.2,311.6,1671,28.8,149
M,301.8,310.3,1409,52.5,26
L,300.1,311.5,1454,52.4,90
L,297.4,308.6,1678,32.3,180
L,297.2,308.7,1669,30.7,72
L,298.2,309.1,1539,36.5,134
L,300.7,311.8,1443,43.7,217
L,300.8,312.4,1465,59.1,91
L,299.8,309.6,1447,43.1,12
L,295.7,306.2,1458,40.6,103
L,297.5,308.6,1260,53.6,137
L,302.4,311.1,1880,24.5,156
M,295.6,306.1,1462,49.2,158
L,299.0,308.9,1615,30.6,14
M,299.3,308.5,1422,45.4,37
M,299.4,309.1,1326,62.0,142
M,301.7,309.9,1457,39.2,192
M,297.3,308.5,1664,28.9,174
H,302.1,310.1,1844,24.6,171
M,298.1,310.0,1393,43.1,65
H,300.2,309.6,1442,49.2,61
L,303.6,312.9,1588,31.9,53
L,301.9,311.2,1435,44.2,16
L,300.0,309.6,1571,33.1,65
L,298.1,309.2,1802,26.9,83
L,298.1,309.9,1642,30.4,58
M,299.3,310.9,1826,25.1,2
H,298.0,308.7,1536,39.6,99
L,299.7,309.2,1422,40.4,140
L,299.0,309.0,1544,31.8,25
M,298.9,308.9,1487,39.5,30
L,297.7,308.7,1694,29.1,102
L,298.5,308.2,1654,27.1,13
M,301.5,310.4,2639,12.0,21
L,298.3,308.5,1453,42.9,89
L,303.1,312.8,1465,44.1,109
M,302.1,311.3,1497,38.4,28
L,300.3,311.8,2004,19.6,12
H,300.9,310.8,1477,38.4,31
M,300.5,311.5,1378,48.2,82
M,298.1,308.7,1362,49.6,158
M,302.4,311.0,1464,44.2,106
L,297.8,307.2,1880,23.0,176
L,298.9,308.5,1742,34.5,117
L,298.4,308.1,1367,57.8,92
L,298.2,309.3,1355,43.8,142
L,302.6,311.0,1284,68.0,114
L,302.3,311.5,1448,49.6,28
M,301.0,312.0,1499,34.6,207
M,301.3,310.6,1378,49.4,173
L,301.4,310.6,2137,18.0,99
L,298.8,308.4,1369,53.0,138
L,299.8,309.4,1609,32.5,27
L,297.8,308.4,1714,33.2,177
M,298.1,309.1,1572,37.5,126
M,302.4,311.8,1644,37.2,195
M,297.7,309.0,1636,29.7,32
L,298.6,309.3,1537,37.6,175
L,301.5,310.8,1350,58.5,13
H,296.3,307.2,1424,42.0,196
L,300.8,310.3,1538,36.1,198
H,297.7,307.3,1249,62.8,47
H,300.8,311.2,1612,32.5,143
H,297.7,309.6,1697,32.2,210
H,302.2,311.8,1330,62.4,31
M,300.8,309.6,1546,42.3,186
L,301.7,310.5,1399,53.2,174
L,298.9,309.6,1589,34.2,197
L,303.0,312.3,1480,41.4,125
L,299.1,310.1,1367,45.6,44
L,302.3,311.8,1435,44.8,98
L,298.8,309.9,1441,41.6,62
M,299.0,310.2,1657,32.3,64
H,298.8,309.2,1306,54.5,50
L,303.9,313.0,1626,31.4,209
L,301.8,310.5,1593,34.9,139
M,299.8,309.7,1705,28.5,103
L,297.2,307.9,1326,75.4,172
M,300.3,311.7,1646,28.9,198
L,300.7,311.9,1399,50.2,222
L,303.7,312.1,1363,51.8,90
L,296.6,307.4,1436,42.8,156
M,298.8,310.1,1719,28.8,206
M,301.8,310.2,1609,34.2,217
L,300.4,309.3,1413,50.3,101
L,300.0,311.5,1349,48.6,113
L,303.5,312.7,1393,49.3,82
L,303.4,311.8,2268,15.8,20
L,301.8,310.7,1751,29.3,133
L,295.9,306.4,1575,28.5,74
L,303.7,312.7,1359,56.8,194
L,301.5,310.5,1589,36.7,118
M,298.6,309.4,1407,45.1,176
L,296.5,307.6,1541,38.5,98
M,303.5,312.9,1530,34.5,110
L,300.8,310.8,1407,45.1,51
M,298.3,308.7,1667,28.6,18
H,297.9,309.2,1577,34.7,5
M,300.5,311.4,1743,27.6,46
M,297.3,308.1,1370,58.8,199
L,296.2,307.2,1445,41.8,20
L,300.4,309.9,1435,54.8,70
M,301.2,310.1,1666,34.9,37
L,303.3,311.5,1412,55.6,67
L,298.0,308.5,1461,48.0,68
M,302.1,311.1,1605,37.6,171
L,302.8,310.6,1671,30.5,201
L,297.2,308.8,1451,43.1,68
L,296.6,307.4,1616,28.0,175
M,303.3,312.6,1482,44.4,73
L,296.8,307.5,1474,42.4,107
H,297.8,307.9,1600,33.5,13
L,298.6,308.4,1485,42.9,38
L,300.4,309.7,1314,50.2,179
L,300.1,310.5,1500,39.8,107
L,301.4,310.5,1633,39.5,0
L,303.9,312.7,1339,62.3,156
L,296.3,307.2,1637,31.6,27
L,302.2,310.9,1452,42.3,56
L,302.5,312.0,1383,51.3,190
L,297.6,308.8,1475,43.0,119
L,297.8,308.8,1559,35.2,66
M,301.5,310.7,1416,53.2,69
L,300.0,311.4,1508,38.2,18
L,303.3,311.4,1958,21.5,0
M,300.6,310.3,1614,32.7,0
L,302.4,311.3,1503,38.2,120
M,299.7,309.3,1399,41.9,221
L,300.8,310.7,1586,33.4,142
L,299.3,308.6,1403,50.6,189
H,300.1,309.3,1448,45.8,163
L,300.4,309.7,1584,32.6,71
L,299.9,310.9,1292,51.1,173
L,297.9,309.0,1290,49.8,43
M,300.2,310.3,1704,29.2,42
L,302.6,310.5,1596,32.8,193
M,301.7,310.1,1431,44.0,61
L,300.9,309.6,1384,42.4,131
L,299.1,310.3,1619,31.1,242
H,300.5,310.6,1378,51.5,166
L,304.0,313.3,1519,36.7,117
M,302.1,311.5,1341,50.8,99
M,298.7,308.5,1660,27.0,50
H,298.0,308.0,1520,39.6,51
M,300.7,312.3,1430,47.2,131
M,300.7,310.0,1641,34.6,178
M,298.9,309.9,1645,31.4,86
L,300.3,309.1,1699,30.3,178
L,300.4,311.2,1406,43.6,22
M,303.6,312.7,1699,31.5,105
L,300.9,310.7,1509,37.5,12
L,302.1,311.5,1533,39.4,26
H,300.6,310.7,1501,45.3,175
L,300.8,310.7,1358,48.1,198
L,300.4,311.8,1601,36.1,0
M,299.4,308.6,1455,42.7,183
H,297.7,308.4,1738,27.7,96
L,298.2,308.1,1462,49.9,69
L,300.9,310.6,1350,53.8,131
L,298.2,308.3,1475,49.9,47
M,298.5,309.4,1521,37.5,94
M,299.9,311.4,1337,54.8,32
L,303.7,312.3,1606,37.4,103
L,299.8,311.1,1412,42.5,181
L,303.5,311.9,1493,38.7,14
M,299.7,310.3,1661,34.5,6
M,301.2,310.1,1558,32.6,34
L,299.1,308.3,1524,34.1,128
M,300.6,311.6,1669,29.2,200
L,301.5,310.8,1417,49.7,5
H,297.9,307.6,1418,43.0,207
L,298.2,309.7,1585,37.4,118
L,299.6,310.8,1644,30.9,114
L,300.3,311.7,1365,53.3,113
L,296.2,307.3,1711,29.9,42
M,297.2,308.5,1364,55.6,163
L,297.8,309.7,1394,42.9,206
M,295.6,306.1,1651,28.1,110
M,298.2,308.7,1269,60.9,163
L,304.0,313.1,1465,41.0,69
L,297.2,308.4,1833,25.2,117
L,297.3,308.4,1491,46.5,29
M,300.9,311.9,1480,40.9,28
M,300.3,310.2,1442,39.5,4
L,303.2,311.2,1427,45.6,25
H,303.5,312.8,1404,55.8,84
L,296.8,307.6,1338,44.4,128
L,303.7,312.4,1513,40.1,135
M,299.6,309.3,1577,39.8,48
M,299.1,308.9,1325,48.4,220
M,304.0,313.0,1377,56.0,61
L,297.5,308.6,1552,44.9,77
M,300.4,310.5,1500,43.0,9
M,298.9,309.9,1404,41.4,20
L,301.2,311.2,1558,34.1,204
M,295.6,306.1,1418,46.2,24
M,303.5,311.6,1562,34.2,107
L,300.3,311.7,1571,31.2,123
L,297.5,308.7,1453,37.6,112
L,299.0,310.3,1501,43.0,91
M,302.3,311.6,1668,33.2,52
H,301.2,309.9,1362,50.7,25
M,297.3,308.8,1586,32.7,131
M,298.7,309.5,1487,33.6,183
H,299.0,308.5,1623,33.5,154
M,297.4,308.4,1675,29.5,59
M,301.9,311.0,1638,35.4,116
L,300.7,309.6,1500,44.1,122
M,296.9,308.1,1357,41.8,127
H,296.2,307.0,1542,40.6,28
H,300.8,309.4,1474,40.7,104
L,295.6,306.1,1372,55.6,215
L,301.4,310.7,1425,45.1,7
H,299.9,311.3,1413,41.8,153
L,301.4,311.1,1952,22.7,131
L,300.0,309.3,1473,46.0,35
M,298.2,308.0,1411,47.2,168
L,299.7,309.3,1546,37.2,4
L,300.9,310.3,1446,44.5,135
M,301.4,310.8,1530,39.9,107
L,302.7,312.2,1376,52.8,164
L,298.1,307.9,1698,33.3,40
L,301.9,311.0,1353,43.8,130
M,298.0,308.2,2090,19.0,143
L,299.5,309.3,1442,46.2,5
L,302.2,311.5,1489,38.3,35
L,298.4,308.6,1491,42.0,120
M,300.9,310.7,1485,41.0,181
L,301.9,311.3,1501,40.8,59
L,297.1,308.5,1555,36.2,0
M,301.5,310.5,1308,60.5,139
L,301.3,310.8,1432,54.4,51
L,301.0,310.9,1404,41.8,71
L,298.7,310.1,1620,34.8,112
L,297.5,308.9,1427,50.4,17
L,299.7,309.1,1473,39.4,125
H,298.8,310.1,1567,36.8,197
L,301.9,310.9,1799,24.2,54
M,301.7,310.9,1644,32.5,201
M,299.8,311.2,1745,26.3,150
L,300.3,310.2,1369,48.8,36
M,297.4,308.9,1323,57.3,163
L,301.5,310.5,1372,44.0,203
L,300.2,311.4,1425,44.2,84
L,297.1,307.9,1496,44.7,88
M,299.2,308.4,1396,48.7,13
L,298.0,308.1,1819,23.4,78
L,302.8,312.2,1515,36.8,162
L,300.8,311.7,1432,45.8,6
L,301.3,310.8,1531,53.4,57
L,300.6,310.1,1297,50.0,130
L,300.0,311.5,1455,41.7,130
L,300.7,311.9,1476,42.0,196
H,297.3,308.6,1688,29.4,166
L,300.8,310.6,1666,36.2,144
L,302.9,312.5,1629,30.4,74
L,301.0,312.2,1540,34.1,113
L,302.2,311.3,1602,32.8,120
M,301.3,311.2,1438,42.4,7
M,302.4,311.9,1398,50.1,188
L,302.0,310.4,1568,39.2,112
M,302.2,311.3,1577,29.8,112
L,304.2,313.4,1457,49.4,96
M,300.5,310.0,1406,50.2,119
M,301.6,310.5,1414,49.3,106
H,297.0,308.1,1517,41.4,222
M,300.5,311.9,1670,26.3,89
M,301.5,310.4,1350,54.9,153
M,295.8,306.3,1444,45.5,76
M,301.2,310.1,2280,15.7,11
L,301.7,310.6,1471,43.8,80
L,299.1,308.3,1892,25.2,34
L,302.0,310.4,1336,58.2,110
L,300.2,311.4,1483,44.4,141
M,303.9,313.2,1422,48.0,215
L,300.3,310.3,1483,51.6,50
L,297.2,308.5,1513,42.9,212
H,302.0,310.5,1459,43.2,148
L,301.4,310.5,1476,39.2,206
L,300.1,309.2,1421,42.5,61
M,298.0,307.4,1463,46.5,182
L,302.8,312.2,1746,27.4,44
H,297.3,308.4,1531,35.6,16
M,300.7,311.1,1438,46.6,103
L,303.7,312.2,1568,33.8,96
L,301.1,310.1,1489,45.8,42
L,300.0,309.2,1610,32.1,150
M,300.1,309.2,1438,51.0,211
L,302.3,310.1,1353,50.9,36
M,300.1,309.5,1462,42.8,50
M,299.2,310.5,1548,33.5,35
L,303.2,311.2,1439,43.9,30
M,303.4,312.1,1499,39.4,197
M,303.0,312.5,1524,42.1,76
M,302.0,311.5,1366,52.3,54
L,298.0,309.2,1527,32.4,99
L,299.0,310.0,1509,38.0,168
L,301.4,310.6,1648,30.7,90
L,296.7,307.8,1453,46.0,33
H,302.4,312.0,1477,39.7,18
L,299.1,310.0,1394,46.6,27
M,300.7,309.6,1439,43.0,61
M,302.1,310.9,1916,23.1,51
M,302.4,311.8,1453,42.1,105
L,296.6,307.4,1521,38.6,173
L,299.6,309.1,1476,45.3,166
L,299.6,310.7,1922,23.3,205
M,296.8,307.5,1443,39.2,13
M,301.3,310.6,1499,36.1,163
M,302.5,311.9,1340,59.4,60
M,301.1,311.2,1384,49.4,48
L,297.8,308.9,1506,33.5,26
M,299.0,310.0,2049,19.5,111
L,303.1,311.2,1399,49.2,111
L,297.3,308.2,1601,35.7,9
L,298.9,308.5,1387,57.3,154
L,301.3,310.0,1438,40.9,7
H,301.4,310.6,1674,33.6,49
L,300.5,311.8,1368,57.9,191
M,297.5,308.2,2448,13.8,29
L,300.2,310.0,1389,53.6,184
L,298.5,309.8,1593,35.1,203
L,300.8,311.9,1486,45.1,30
H,301.0,310.4,1512,44.9,86
L,302.7,312.2,1447,47.5,166
L,302.0,310.0,1832,22.9,178
L,299.6,308.9,1422,53.2,120
L,302.0,311.2,1270,65.3,182
L,298.5,308.1,1662,28.6,48
L,300.4,309.6,1379,54.5,122
H,302.9,311.0,1452,58.3,123
L,301.5,310.6,1405,42.3,83
L,302.0,309.9,1308,57.6,197
L,298.2,307.9,1544,31.4,192
L,303.9,313.0,1433,48.4,178
L,298.2,309.1,1429,48.5,164
M,301.3,311.4,1838,23.2,215
L,302.6,311.6,1638,29.6,160
L,300.3,309.6,1326,52.4,57
H,299.4,309.2,1513,36.1,212
L,297.0,308.3,1399,59.0,135
M,298.4,309.2,1491,51.2,13
L,302.5,312.0,1411,44.2,177
L,297.5,308.5,1306,50.7,38
L,300.8,312.4,1493,39.1,79
L,300.6,311.0,1543,34.7,89
L,297.4,308.3,1465,42.0,13
L,304.3,313.5,1590,29.8,17
M,303.7,312.8,1366,47.3,49
L,302.2,311.2,1451,41.8,66
L,300.9,310.6,1552,34.9,95
L,297.5,308.4,1384,56.0,73
M,300.7,311.0,1334,53.9,150
L,299.2,308.4,1434,46.8,2
M,297.4,308.8,1325,62.4,204
L,297.5,309.4,1443,45.4,70
L,299.2,310.3,1507,41.3,158
H,298.2,309.0,1562,37.7,36
L,301.4,310.7,1280,61.0,106
L,301.6,310.7,1457,40.4,213
M,298.1,307.7,1445,48.0,73
L,297.4,308.7,1402,40.2,114
M,296.6,307.5,1566,35.0,201
H,304.0,313.0,1701,30.4,171
M,302.3,311.0,1578,33.5,158
L,300.0,311.1,1425,47.8,179
M,301.5,310.8,1628,36.4,167
L,297.5,309.6,1312,50.7,0
M,302.5,312.0,1591,29.4,192
L,304.1,313.6,1611,31.4,144
L,302.6,312.0,1447,45.5,173
H,298.8,310.2,1663,30.4,209
L,302.0,310.8,1383,50.3,231
M,299.1,308.5,1592,34.2,153
L,303.6,312.4,1388,41.9,221
M,301.8,310.8,1618,37.8,59
M,298.0,307.5,1387,45.5,166
H,302.9,312.3,1417,48.7,26
L,300.0,309.7,1586,37.8,103
L,302.3,310.8,1377,47.3,22
L,298.7,308.5,1668,35.2,77
M,303.4,312.7,1399,48.4,34
L,301.4,311.1,1495,36.3,193
M,302.0,311.2,1625,30.7,189
L,302.4,311.8,1384,50.9,99
M,297.4,308.3,1483,41.9,47
L,297.6,309.0,1487,45.4,64
L,297.2,308.5,1766,25.8,7
L,300.9,310.9,1995,20.2,105
M,295.7,306.3,1685,34.9,84
M,298.8,309.7,1448,44.8,31
L,298.8,308.4,1484,39.2,8
M,301.1,311.3,1909,22.7,38
L,303.6,312.5,1286,62.4,101
M,298.2,309.4,1408,46.5,76
M,301.7,310.0,1391,50.6,195
L,302.0,311.0,1632,34.2,18
M,302.5,311.4,1636,35.0,157
M,301.5,311.1,1660,33.8,115
L,299.8,311.2,1369,46.2,146
H,298.7,309.6,1755,26.9,73
M,300.5,310.0,1580,37.0,181
L,297.2,308.5,1550,41.5,125
L,297.9,307.6,1503,40.7,124
L,299.1,310.2,1352,52.8,41
M,298.9,308.9,1727,27.1,37
L,300.6,310.7,1455,40.6,82
L,300.2,310.2,1378,43.9,193
M,303.4,311.8,2133,18.3,207
M,302.5,311.1,1638,32.0,198
L,301.4,310.5,1432,54.3,81
L,301.3,310.8,1450,46.9,59
L,298.2,308.7,1605,29.4,47
M,299.8,309.6,1346,53.2,95
M,298.0,307.5,1427,45.1,95
M,298.8,309.9,1741,27.7,50
L,299.8,309.0,1614,30.8,100
L,298.4,308.2,1618,33.0,61
L,302.2,311.5,1588,30.6,39
L,300.7,310.2,1569,32.8,31
M,297.0,307.7,1498,47.1,199
M,298.8,310.2,1581,37.5,75
L,298.8,308.7,1445,48.5,70
M,297.5,308.1,1480,42.4,112
L,297.5,308.3,1388,48.6,27
L,297.0,307.9,1350,47.7,168
L,298.6,309.4,1375,55.4,145
L,299.8,309.1,1772,24.8,113
L,301.7,310.5,2465,13.7,149
L,299.4,309.0,1800,24.3,128
L,298.6,309.7,1925,22.1,7
L,300.6,309.4,1474,40.7,87
H,303.6,312.6,1498,40.2,155
M,296.2,307.3,1451,42.8,11
M,299.1,308.8,1725,26.6,172
L,301.8,310.6,1650,31.9,126
M,297.2,308.3,1326,57.2,100
M,300.7,311.0,1413,44.3,72
L,298.9,309.1,2861,4.6,143
L,301.2,310.9,1467,37.1,153
H,303.3,312.6,1692,29.0,125
H,297.8,307.5,1631,31.3,124
L,301.5,310.5,1927,22.4,149
L,297.8,309.7,1341,49.2,208
M,302.4,311.1,1887,22.4,197
L,301.6,310.1,1687,26.6,16
L,296.9,307.8,1466,45.7,153
M,298.1,309.0,1533,36.1,189
M,302.4,311.1,1721,30.1,210
L,301.5,310.7,1323,49.7,79
L,301.7,310.3,1397,44.6,57
L,299.0,310.5,1755,27.9,56
M,300.1,310.3,1350,48.8,50
M,304.0,313.4,1389,45.8,123
H,300.9,311.4,1387,42.7,121
L,299.2,310.3,1440,47.0,21
L,302.0,310.5,1651,30.9,146
M,303.9,313.2,1350,47.2,2
M,299.0,310.0,1667,30.0,53
L,299.0,310.1,1618,29.2,62
L,299.8,311.1,1603,35.1,179
L,302.9,312.3,1515,40.8,183
L,298.1,307.6,1460,46.5,143
H,298.0,308.0,1479,50.7,70
H,298.0,307.4,1606,35.2,195
L,298.5,308.4,1733,26.0,8
M,298.4,308.2,1584,41.0,191
L,300.9,312.1,1359,51.7,146
L,300.2,310.3,1331,52.1,30
L,302.6,312.4,1398,41.6,40
L,300.7,309.5,1508,39.9,59
L,299.1,310.0,1367,56.3,203
L,300.1,309.6,1649,33.6,168
M,302.2,311.2,1561,34.9,106
L,300.5,309.5,1379,55.6,2
L,296.5,307.5,1566,35.1,206
L,301.9,310.8,1519,39.0,90
H,298.8,308.2,1450,44.7,14
L,302.2,310.4,1743,28.1,170
L,303.4,312.0,1521,35.9,215
L,300.7,310.9,1535,37.1,113
H,297.7,309.7,1616,31.1,20
L,299.6,309.1,1641,35.8,81
L,303.7,313.1,1683,28.4,46
L,298.0,307.7,1430,47.3,49
L,298.1,308.2,1482,37.9,17
M,297.6,308.3,1538,40.2,0
H,299.0,309.9,1884,25.6,100
L,300.5,311.6,1744,26.8,94
L,298.3,309.4,1378,52.3,12
L,296.5,307.2,1481,38.2,160
